model,fraction,n_folds,n_train_mean,n_train_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std
LogisticRegression,0.4,10,304.0,0.0,0.6233301770512213,0.02229161963041026,0.5580516178707674,0.05022031018750333
LogisticRegression,0.7,10,534.4,3.3730961708462712,0.6005970339207447,0.013169808404264306,0.5539164379362467,0.044374306153749946
LogisticRegression,1.0,10,768.0,5.333333333333333,0.5931606102259309,0.011512050364441036,0.5548325360424149,0.03016014538800273
RandomForest,0.4,10,304.0,0.0,0.6517178626122202,0.06532894084220256,0.4786252233453663,0.040313484375696367
RandomForest,0.7,10,534.4,3.3730961708462712,0.5813172633366092,0.04405385700008922,0.4572007416555385,0.01681311657642278
RandomForest,1.0,10,768.0,5.333333333333333,0.5376063055287706,0.03951298859537454,0.4604266367362625,0.020040324269170733
GradientBoosting,0.4,10,304.0,0.0,0.6607646729185118,0.04086582398355257,0.5273481960487332,0.04147424146165209
GradientBoosting,0.7,10,534.4,3.3730961708462712,0.5871423607487662,0.04466053039292258,0.48815063380919266,0.03260453081704974
GradientBoosting,1.0,10,768.0,5.333333333333333,0.550052295275482,0.028390404253786725,0.46197265870163556,0.01883726642037109
