model,feature,n_folds,f1_decrease_mean,f1_decrease_std
LogisticRegression,root_cpu,10,0.005916644282773475,0.01957598398328464
LogisticRegression,root_errors,10,0.016897240719045584,0.030773020955796426
LogisticRegression,root_latency,10,-0.003885600846199884,0.007116505373040786
LogisticRegression,n_nodes,10,0.05476911513023815,0.03275502185948281
LogisticRegression,n_requires,10,0.02020709550861538,0.024739075213740382
LogisticRegression,n_replicas,10,0.02631187004955235,0.01620163303912611
LogisticRegression,mean_cpu,10,0.0023176250194551417,0.01393091014517826
LogisticRegression,max_cpu,10,-0.0010256032312315646,0.01866358571736684
LogisticRegression,mean_errors,10,0.007607683824163653,0.026350787976488068
LogisticRegression,max_errors,10,-0.002931224360356059,0.011479301375619784
LogisticRegression,alarm_fraction,10,-0.00012396363100712496,0.01093036375962279
LogisticRegression,root_down,10,-0.006258792742928296,0.013772632897888864
LogisticRegression,down_fraction,10,-0.005044310344746793,0.01697951595116553
LogisticRegression,reachable_fraction,10,0.0007847657506773895,0.020909981016722343
LogisticRegression,exposed_fraction,10,0.005150230740350224,0.011616866096825232
LogisticRegression,reachable_down_fraction,10,-0.004239572319727753,0.013502233713293501
LogisticRegression,degraded_fraction,10,-0.004514460413549995,0.01134041970327278
RandomForest,root_cpu,10,0.014633792505623735,0.014506353349823349
RandomForest,root_errors,10,0.014318132037947537,0.014685149124649853
RandomForest,root_latency,10,0.01292730258791643,0.014049903354007486
RandomForest,n_nodes,10,0.006855788541309332,0.013293399641637473
RandomForest,n_requires,10,0.00990739787460464,0.022616054464032052
RandomForest,n_replicas,10,0.0015557525063850867,0.008593708785886006
RandomForest,mean_cpu,10,0.00522509090685825,0.01289250579249046
RandomForest,max_cpu,10,0.005291578340017394,0.013361550522082858
RandomForest,mean_errors,10,0.005498970577857757,0.010878709070319159
RandomForest,max_errors,10,0.006962992972300996,0.010410519333809591
RandomForest,alarm_fraction,10,0.000483025942102163,0.007650684674249761
RandomForest,root_down,10,0.01074115924376128,0.017370414942481774
RandomForest,down_fraction,10,0.0014135492577756626,0.006484721728977574
RandomForest,reachable_fraction,10,0.0009321235900060211,0.012761838472526332
RandomForest,exposed_fraction,10,0.011170285163400651,0.015428710623357478
RandomForest,reachable_down_fraction,10,0.0015788214726458621,0.004087654658222332
RandomForest,degraded_fraction,10,-0.0014959135799232875,0.012937040930468952
GradientBoosting,root_cpu,10,0.014997179677634814,0.014455365487655704
GradientBoosting,root_errors,10,0.016574094686509916,0.014016372685098788
GradientBoosting,root_latency,10,0.002220772488667857,0.012307109402280313
GradientBoosting,n_nodes,10,-0.001520073767614068,0.005366232302396617
GradientBoosting,n_requires,10,0.0007109075270216057,0.015781063848754228
GradientBoosting,n_replicas,10,0.0014847527808386906,0.007020988508667226
GradientBoosting,mean_cpu,10,0.006337780244395142,0.015863371088795222
GradientBoosting,max_cpu,10,0.0010343476466105172,0.00526104749839976
GradientBoosting,mean_errors,10,0.006115043984389686,0.014608536784146314
GradientBoosting,max_errors,10,-0.0028698260291749895,0.005770549571977231
GradientBoosting,alarm_fraction,10,0.0,0.0
GradientBoosting,root_down,10,0.0039310557415451084,0.011288042198533355
GradientBoosting,down_fraction,10,-0.0004928199941213573,0.0010597171052411935
GradientBoosting,reachable_fraction,10,0.0006751079174947682,0.007629463816564495
GradientBoosting,exposed_fraction,10,0.0020134222562230185,0.007082308586299694
GradientBoosting,reachable_down_fraction,10,0.0002564495714315773,0.000810964750697832
GradientBoosting,degraded_fraction,10,0.0002046685277905025,0.0013846142470326
