k,silhouette_mean,silhouette_std
2,0.8005100162740101,0.004259820056789647
3,0.5456027372755234,0.014012899474078485
4,0.34325171461454057,0.015378133156054572
5,0.2966495839019399,0.018400846501647177
6,0.25768366611000226,0.01694504905879979
7,0.2575012582222612,0.011028505286210912
