sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
396,30,53,303,6,44156,0.05303019500024675,10,1
397,30,50,345,7,57128,0.07481803500013484,28,1
398,30,51,338,6,45251,0.057507594000526296,24,1
399,30,51,312,6,43467,0.05524430900004518,14,1
400,26,45,246,5,21852,0.028376317000038398,17,1
401,26,41,237,5,19518,0.024070946000392723,15,1
402,26,40,203,5,16991,0.02102987799935363,1,1
403,26,44,235,5,20940,0.02610930599985295,14,1
404,26,44,242,5,21053,0.02840847900006338,14,1
405,26,42,238,6,25670,0.03175419099989085,12,1
406,26,41,204,5,17591,0.02199402999940503,2,1
407,26,39,200,5,16391,0.02216718599993328,0,1
408,26,40,204,5,16880,0.021581322999736585,10,1
409,26,38,178,5,14509,0.018398713000351563,1,1
410,26,39,180,5,15060,0.018638397000358964,2,1
411,26,38,178,5,14509,0.01849103900076443,1,1
412,26,40,194,5,16343,0.02245513999969262,7,1
413,26,44,194,5,18003,0.022151580000354443,8,1
414,26,38,184,5,15026,0.018821820999619376,4,1
415,26,40,213,6,22358,0.027735002000554232,13,1
416,29,50,284,7,41519,0.050766240000484686,16,1
417,29,46,228,6,28840,0.0363360229994214,6,1
418,29,49,240,6,31863,0.038919813999200414,11,1
419,29,50,280,6,34651,0.04220726399944397,19,1
420,29,51,299,7,45728,0.05671154200081219,27,1
421,29,47,243,6,30735,0.0375974460002908,11,1
422,29,51,304,6,35266,0.04607406100058142,19,1
423,29,46,228,6,28840,0.034573548000480514,6,1
424,28,46,299,9,62323,0.07663819400022476,10,1
425,28,42,255,8,45758,0.05783849100043881,1,1
426,28,46,309,8,55770,0.0704142859995045,20,1
427,28,48,287,8,55670,0.07218976800049859,12,1
428,28,45,292,8,53508,0.06452317800085439,16,1
429,28,47,324,9,67592,0.08291010999982973,21,1
430,28,46,265,8,51507,0.06390320799982874,6,1
431,28,48,357,9,69941,0.08484760400006053,25,1
432,30,48,246,6,31105,0.03796920099921408,1,1
433,30,47,244,6,30202,0.03692993100048625,0,1
434,30,50,301,7,46348,0.05524853600036295,24,1
435,30,59,351,7,55714,0.06982585900004779,26,1
436,30,56,371,7,53883,0.0640440610004589,29,1
437,30,49,274,6,34005,0.041022163999514305,12,1
438,30,50,282,6,36024,0.04384605300037947,15,1
439,30,47,244,6,30202,0.038358204000360274,0,1
440,26,39,193,6,20136,0.025283040000431356,2,1
441,26,39,193,6,20136,0.026027577999229834,2,1
442,26,47,276,7,35922,0.04457345599985274,24,1
443,26,41,215,6,22366,0.03269373300008738,8,1
444,26,45,275,7,34196,0.06548617199950968,23,1
445,26,49,257,7,35174,0.07792272500046238,17,1
446,26,41,217,6,22367,0.0343916480005646,8,1
447,26,39,212,6,21238,0.03697335299966653,9,1
448,28,50,247,5,23713,0.032188385000154085,5,1
449,28,55,272,5,27666,0.035200864000216825,13,1
450,28,48,237,5,21975,0.029434840999783773,1,1
