k,silhouette_mean,silhouette_std
2,0.7967140324028823,0.0057769769357402115
3,0.5591892929815607,0.01917675190305257
4,0.3545133536556321,0.015142606364490085
5,0.3141908445431415,0.014190839669427042
6,0.2713318587926282,0.00862706362944381
7,0.2651588963467623,0.009197659258139321
