repeat,fold,model,feature,f1_decrease
0,2,LogisticRegression,root_errors,-0.01571871860466371
0,2,LogisticRegression,root_latency,0.020418202182412044
0,2,LogisticRegression,n_nodes,0.02656498682374442
0,2,LogisticRegression,n_requires,-0.005428748472449785
0,2,LogisticRegression,n_replicas,0.024053076970846726
0,2,LogisticRegression,mean_cpu,0.011785510357466519
0,2,LogisticRegression,max_cpu,-0.0029299037634178036
0,2,LogisticRegression,mean_errors,0.01103500580282731
0,2,LogisticRegression,max_errors,-0.0006823078928012519
0,2,LogisticRegression,alarm_fraction,0.003496534938243423
0,2,LogisticRegression,root_down,0.017696182934805755
0,2,LogisticRegression,down_fraction,0.009962095339470197
0,2,LogisticRegression,reachable_fraction,0.027202986458178497
0,2,LogisticRegression,exposed_fraction,-0.0003484475370492124
0,2,LogisticRegression,reachable_down_fraction,0.02830657623889225
0,2,LogisticRegression,degraded_fraction,0.008716053493961947
0,2,RandomForest,root_cpu,0.021468274468524173
0,2,RandomForest,root_errors,0.01862044166844497
0,2,RandomForest,root_latency,0.0037026464709912035
0,2,RandomForest,n_nodes,0.013291359249400466
0,2,RandomForest,n_requires,0.0184329114256212
0,2,RandomForest,n_replicas,0.00657593100242071
0,2,RandomForest,mean_cpu,-0.002428429252256318
0,2,RandomForest,max_cpu,0.0005587570068135891
0,2,RandomForest,mean_errors,0.011124335246771921
0,2,RandomForest,max_errors,0.004383954001613806
0,2,RandomForest,alarm_fraction,0.002872227298717019
0,2,RandomForest,root_down,0.005012415012698002
0,2,RandomForest,down_fraction,0.0036893184843261504
0,2,RandomForest,reachable_fraction,0.026575717255272895
0,2,RandomForest,exposed_fraction,0.012591321612732279
0,2,RandomForest,reachable_down_fraction,0.029711796247569738
0,2,RandomForest,degraded_fraction,0.028798153224642964
0,2,GradientBoosting,root_cpu,0.015944397280224638
0,2,GradientBoosting,root_errors,0.012149634388262073
0,2,GradientBoosting,root_latency,0.005293330143148071
0,2,GradientBoosting,n_nodes,0.004521133845683571
0,2,GradientBoosting,n_requires,0.02700749327267582
0,2,GradientBoosting,n_replicas,0.009063802630481602
0,2,GradientBoosting,mean_cpu,0.013791005105485773
0,2,GradientBoosting,max_cpu,0.011622340093967712
0,2,GradientBoosting,mean_errors,0.016768445573084916
0,2,GradientBoosting,max_errors,0.0
0,2,GradientBoosting,alarm_fraction,0.0
