case,n_nodes,n_failures,strategy,repairs,cost,expanded,seconds,oracle_cost,excess_cost,valid
34,12,6,cheapest,"['n00', 'n02', 'n05', 'n07', 'n11']",18,6,0.0015444200007550535,12,6,1
35,16,6,ucs,['n15'],8,13,0.014523538999128505,8,0,1
35,16,6,cheapest,"['n00', 'n01', 'n07', 'n10', 'n12', 'n15']",29,7,0.005674428000020271,8,21,1
36,8,2,ucs,['n07'],1,3,0.00043475300026329933,1,0,1
36,8,2,cheapest,"['n05', 'n07']",2,3,0.0003413619997445494,1,1,1
37,12,2,ucs,[],0,1,0.0002803759998641908,0,0,1
37,12,2,cheapest,[],0,1,0.0002642149993334897,0,0,1
38,16,2,ucs,['n15'],5,3,0.0005271499994705664,5,0,1
38,16,2,cheapest,"['n10', 'n15']",10,3,0.00044559700017998694,5,5,1
39,8,4,ucs,['n07'],7,9,0.001307300999542349,7,0,1
39,8,4,cheapest,"['n00', 'n02', 'n06', 'n07']",13,5,0.000552817999960098,7,6,1
40,12,4,ucs,['n10'],8,5,0.002044324000053166,8,0,1
40,12,4,cheapest,"['n00', 'n07', 'n09', 'n10']",27,5,0.0015417100003105588,8,19,1
41,16,4,ucs,[],0,1,0.000453126999673259,0,0,1
41,16,4,cheapest,[],0,1,0.0004390219992274069,0,0,1
42,8,6,ucs,['n00'],1,2,0.0005548669996642275,1,0,1
42,8,6,cheapest,['n00'],1,2,0.000521816999935254,1,0,1
43,12,6,ucs,['n11'],8,9,0.0054502510001839255,8,0,1
43,12,6,cheapest,"['n02', 'n04', 'n06', 'n08', 'n11']",26,6,0.0031772009997439454,8,18,1
44,16,6,ucs,['n11'],4,3,0.0032102610002766596,4,0,1
44,16,6,cheapest,"['n09', 'n11']",5,3,0.0030301880005936255,4,1,1
45,8,2,ucs,['n07'],7,3,0.00041753299956326373,7,0,1
45,8,2,cheapest,"['n06', 'n07']",8,3,0.00030890700054442277,7,1,1
46,12,2,ucs,[],0,1,0.00011819300016213674,0,0,1
46,12,2,cheapest,[],0,1,0.00010697600009734742,0,0,1
47,16,2,ucs,[],0,1,0.0002603229995656875,0,0,1
47,16,2,cheapest,[],0,1,0.00024375300017709378,0,0,1
48,8,4,ucs,['n01'],3,3,0.0006578470001841197,3,0,1
48,8,4,cheapest,"['n01', 'n06']",5,3,0.0007068570002957131,3,2,1
49,12,4,ucs,['n11'],2,2,0.001313384000241058,2,0,1
49,12,4,cheapest,['n11'],2,2,0.0012469749999581836,2,0,1
50,16,4,ucs,['n03'],1,2,0.0011259530001552776,1,0,1
50,16,4,cheapest,['n03'],1,2,0.0010578730007182457,1,0,1
51,8,6,ucs,"['n01', 'n02', 'n05', 'n07']",19,56,0.013506867000614875,19,0,1
51,8,6,cheapest,"['n00', 'n01', 'n02', 'n04', 'n05', 'n07']",23,7,0.00110585499987792,19,4,1
