repeat,fold,cluster,cpu,errors,latency
0,0,0,0.7215746104222567,0.079859632686323,110.09311513553786
0,0,1,0.24826574761905582,0.03051895377271804,44.95561552146328
0,1,0,0.7206187295720236,0.08006679254268002,109.53354225796889
0,1,1,0.2491368245696602,0.02954516453536305,44.84897765687536
0,2,0,0.7208592184995049,0.08022591609701937,110.39674773187306
0,2,1,0.2504870803651148,0.03038044217491844,44.865680944499005
0,3,0,0.7213702755526825,0.07956067067410083,110.02674443909865
0,3,1,0.24951626046280664,0.030509325356093474,44.74129613246886
0,4,0,0.24712556493564683,0.029606540752827468,45.193458668147514
0,4,1,0.7204269938330272,0.07958694163660525,109.84281681994993
1,0,0,0.25159872930853994,0.031028712174080847,45.18771989175639
1,0,1,0.7210866044167709,0.08009184024944843,109.64554284501098
1,1,0,0.7205156925852008,0.07897757822355717,110.11067954814092
1,1,1,0.25002794723147714,0.02964876349956967,45.04120950406316
1,2,0,0.7194949471324608,0.08021658206976877,109.96468937568491
1,2,1,0.2480927692022086,0.030679704001402918,44.3846195838273
1,3,0,0.25021047024742393,0.030273728668870292,44.87502308956192
1,3,1,0.7196715117763955,0.07963807693884256,109.57147647654739
1,4,0,0.25098173287405157,0.03015423003118938,45.113580585110746
1,4,1,0.7222654706329569,0.08010821162303547,109.69520597409249
