model,comparison,f1_delta_mean,f1_delta_std,positive_folds,n_folds
LogisticRegression,BASE+KB minus BASE,0.08531441203257878,0.03390099860528599,10,10
LogisticRegression,BASE+KB minus BASE+LOCAL,0.051506051875770766,0.03422195345793207,9,10
RandomForest,BASE+KB minus BASE,0.10334389455869694,0.03116400499647805,10,10
RandomForest,BASE+KB minus BASE+LOCAL,0.05786385057363935,0.03716549346284984,9,10
GradientBoosting,BASE+KB minus BASE,0.09560465339100929,0.029074791924020214,10,10
GradientBoosting,BASE+KB minus BASE+LOCAL,0.0546313846416208,0.045426852760186265,9,10
