model,fraction,n_folds,n_train_mean,n_train_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std
LogisticRegression,0.4,10,304.0,0.0,0.6955852792384314,0.016038737783841225,0.650143218514099,0.03346295511949014
LogisticRegression,0.7,10,536.0,0.0,0.6783431843241086,0.013216553047140556,0.6576453852517412,0.029299480637903857
LogisticRegression,1.0,10,768.0,0.0,0.6827114867081711,0.0067282885832628085,0.6638593040269714,0.02718728507916059
RandomForest,0.4,10,304.0,0.0,0.7984567247755067,0.016008089996179392,0.6331586920584311,0.04309055303333322
RandomForest,0.7,10,536.0,0.0,0.7493835016142667,0.013691683652430847,0.6369941689223214,0.03810445507827494
RandomForest,1.0,10,768.0,0.0,0.735433486520815,0.006726353075103807,0.6463724491290957,0.038311232320694256
GradientBoosting,0.4,10,304.0,0.0,0.7746359511126161,0.023608488532434455,0.6245722022245185,0.04753008265555061
GradientBoosting,0.7,10,536.0,0.0,0.7419378231459662,0.02152257399795885,0.6313122150061623,0.04345814383990078
GradientBoosting,1.0,10,768.0,0.0,0.7308007654548971,0.008427909754840979,0.6503744465466346,0.037058009707097724
