case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_emailservice_loss_1,loss,SingleCenter,144,721,0.8999981082143436,0.9618585298196949,0.0,0.9237170596393898
re2ob_emailservice_loss_1,loss,KMeans,144,721,0.8999981082143436,0.9618585298196949,0.0,0.9237170596393898
re2ob_emailservice_loss_1,loss,MaxDeviation,144,721,0.8999981082143436,0.9618585298196949,0.0,0.9237170596393898
re2ob_emailservice_loss_2,loss,SingleCenter,144,721,0.8508356463709916,0.8576774156264448,0.22916666666666666,0.9445214979195562
re2ob_emailservice_loss_2,loss,KMeans,144,721,0.8832721580481486,0.9111525273539837,0.11805555555555555,0.9403606102635229
re2ob_emailservice_loss_2,loss,MaxDeviation,144,721,0.8783379211959252,0.909072083525967,0.11805555555555555,0.9361997226074896
re2ob_emailservice_loss_3,loss,SingleCenter,144,721,0.7968120805369128,0.7583506703652334,0.4583333333333333,0.9750346740638003
re2ob_emailservice_loss_3,loss,KMeans,144,721,0.8162942317930695,0.7659789644012944,0.4583333333333333,0.9902912621359223
re2ob_emailservice_loss_3,loss,MaxDeviation,144,721,0.8163013931362555,0.7569444444444444,0.4861111111111111,1.0
re2ob_emailservice_mem_1,mem,SingleCenter,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_emailservice_mem_1,mem,KMeans,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_emailservice_mem_1,mem,MaxDeviation,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_emailservice_mem_2,mem,SingleCenter,144,721,0.9958572796934866,0.9986130374479889,0.0,0.9972260748959778
re2ob_emailservice_mem_2,mem,KMeans,144,721,0.9958572796934866,0.9986130374479889,0.0,0.9972260748959778
re2ob_emailservice_mem_2,mem,MaxDeviation,144,721,0.9958572796934866,0.9986130374479889,0.0,0.9972260748959778
re2ob_emailservice_mem_3,mem,SingleCenter,144,721,0.9815101142169053,0.9882011866235167,0.013888888888888888,0.9902912621359223
re2ob_emailservice_mem_3,mem,KMeans,144,721,0.9815101142169053,0.9882011866235167,0.013888888888888888,0.9902912621359223
re2ob_emailservice_mem_3,mem,MaxDeviation,144,721,0.9729978940998778,0.9743122977346279,0.041666666666666664,0.9902912621359223
re2ob_emailservice_socket_1,socket,SingleCenter,144,721,0.989727841231614,0.9965325936199723,0.0,0.9930651872399445
re2ob_emailservice_socket_1,socket,KMeans,144,721,0.989727841231614,0.9965325936199723,0.0,0.9930651872399445
re2ob_emailservice_socket_1,socket,MaxDeviation,144,721,0.989727841231614,0.9965325936199723,0.0,0.9930651872399445
