repeat,fold,model,feature_set,n_test,f1_macro,balanced_accuracy,average_precision,brier,fit_seconds,best_params
0,0,LogisticRegression,BASE,192,0.5069109796566151,0.5077765995051255,0.40940601314223035,0.2511603899732719,0.15517416700004105,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,0,RandomForest,BASE,192,0.5655016343977872,0.5784729586426299,0.46921823886337805,0.23198786512763395,1.31470411600003,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,0,GradientBoosting,BASE,192,0.46971940919825483,0.5222693531283139,0.4475446678070727,0.23100324219074123,0.8871021149998342,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,0,LogisticRegression,BASE+LOCAL,192,0.541846118030497,0.5425945563803464,0.416184477840537,0.2536172969426243,0.13050137400023232,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
0,0,RandomForest,BASE+LOCAL,192,0.4928833455612619,0.5227995758218452,0.41108698841876246,0.23931114172730328,1.4942934040000182,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,0,GradientBoosting,BASE+LOCAL,192,0.4630385487528345,0.5051254860374691,0.4241588528799834,0.23837332723477944,1.3362823500001468,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,0,LogisticRegression,BASE+KB,192,0.6205533596837944,0.6295510781194769,0.47938124057663545,0.23561397453615854,0.1394889780003723,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,0,RandomForest,BASE+KB,192,0.5103272387657602,0.5332272887946271,0.47642836149196366,0.22514071120077814,1.5003069009999308,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 10}"
0,0,GradientBoosting,BASE+KB,192,0.5568790946992257,0.576175326970661,0.49262700899985673,0.22369397647688452,1.4652113860001919,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,0,DummyPrior,-,192,0.3904761904761905,0.5,0.359375,0.23155381944444442,0.0,{}
0,0,LogicOnly,-,192,0.6331940298507462,0.631671968893602,0.4502159977703456,0.3333333333333333,0.0,{}
0,1,LogisticRegression,BASE,192,0.6152084287677508,0.6574651625746517,0.4438473768969571,0.23826877987993314,0.11540271700050653,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,1,RandomForest,BASE,192,0.5504916497580771,0.5524883875248839,0.34485528543378496,0.21487439434280006,1.3052889390000928,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,1,GradientBoosting,BASE,192,0.5111974110032362,0.5289316522893165,0.36374135853878775,0.2083488652944803,0.9006970390000788,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,1,LogisticRegression,BASE+LOCAL,192,0.6375827581349486,0.6956204379562044,0.48269257935564025,0.23376729518779485,0.13126710300002742,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
