repeat,fold,cluster,cpu,errors,latency
0,0,0,0.7178656228035916,0.07949685800713499,109.82919990113595
0,0,1,0.25066448504567634,0.02974099308494327,45.347927811365025
0,1,0,0.7210337742343023,0.08021919937974731,110.20828189349625
0,1,1,0.2503536407136644,0.02949788586485199,44.66998480740511
0,2,0,0.7173782873935499,0.07949479984662591,110.08015149583866
0,2,1,0.25025566052478326,0.03034655361198106,44.95585820633816
0,3,0,0.717855889038071,0.07968713218359716,109.94913107721335
0,3,1,0.2525235544941089,0.029193422834770794,44.94188125540917
0,4,0,0.25088747570963105,0.029929487568240404,45.150725770302316
0,4,1,0.7217856506942719,0.07993110522349964,109.7125876610648
1,0,0,0.25234862859666196,0.030184240717667527,44.79834198080263
1,0,1,0.717837966006718,0.07963032069726891,110.14523069667213
1,1,0,0.2505719033805245,0.030092550542022357,45.57782270616369
1,1,1,0.7213991971327716,0.07972277500278209,109.6518839013799
1,2,0,0.7220262408651927,0.07992572768909212,109.99356401749108
1,2,1,0.2513103227313498,0.029275034336784442,44.30415888328641
1,3,0,0.7208647138665957,0.07996302084439155,109.95580284583386
1,3,1,0.24943724785755886,0.030193024099221887,45.287296634559326
1,4,0,0.24875331891885566,0.030308459756274993,44.95252455427905
1,4,1,0.7210492343458194,0.08019946933808986,110.23250550309817
