repeat,fold,f1_macro,balanced_accuracy,average_precision,brier,edges,best_params
0,0,0.3904761904761905,0.5,0.43538048135310264,0.2332393544782326,9,"{""alpha"": 0.5, ""max_parents"": 2}"
0,1,0.41641337386018235,0.5,0.38024121117991205,0.19641918523501944,9,"{""alpha"": 0.5, ""max_parents"": 2}"
0,2,0.4117647058823529,0.5,0.38533870913028906,0.20289616953256917,8,"{""alpha"": 0.5, ""max_parents"": 2}"
0,3,0.39072847682119205,0.5,0.37678525060161083,0.23530453866595905,9,"{""alpha"": 0.5, ""max_parents"": 2}"
0,4,0.3943217665615142,0.5,0.4339291611096836,0.21669428476866845,9,"{""alpha"": 0.5, ""max_parents"": 2}"
1,0,0.40186915887850466,0.5,0.4058449209991858,0.2192389278514134,9,"{""alpha"": 0.5, ""max_parents"": 2}"
1,1,0.3786407766990291,0.5,0.4547357011658124,0.23857848503031187,5,"{""alpha"": 0.5, ""max_parents"": 1}"
1,2,0.41284403669724773,0.5,0.3346093188357946,0.20706313611911495,9,"{""alpha"": 0.5, ""max_parents"": 2}"
1,3,0.40372670807453415,0.5,0.4759600306909145,0.20692513955842573,9,"{""alpha"": 0.5, ""max_parents"": 2}"
1,4,0.4074074074074074,0.5,0.4768899627791355,0.200072596564159,9,"{""alpha"": 0.5, ""max_parents"": 2}"
