model,feature,n_folds,f1_decrease_mean,f1_decrease_std
LogisticRegression,root_cpu,10,0.0026373274197829047,0.011220899560896789
LogisticRegression,root_errors,10,-0.008404439891171657,0.014097434674561864
LogisticRegression,root_latency,10,0.00018972566306343355,0.01214187568237547
LogisticRegression,n_nodes,10,0.010357839602255892,0.023615229384452645
LogisticRegression,n_requires,10,0.0029402110772665667,0.0079213633295566
LogisticRegression,n_replicas,10,0.015814197291295948,0.020481041237720567
LogisticRegression,mean_cpu,10,0.005322841655201689,0.01642193751772631
LogisticRegression,max_cpu,10,0.0031540366047625077,0.012064314410288981
LogisticRegression,mean_errors,10,0.019819063773687695,0.025626731517864494
LogisticRegression,max_errors,10,0.0004831492312119064,0.009534180116077443
LogisticRegression,alarm_fraction,10,0.0031839341733387503,0.0135909589438634
LogisticRegression,root_down,10,0.02115929695732186,0.021072404056808162
LogisticRegression,down_fraction,10,0.0005244917913658555,0.005363765842645552
LogisticRegression,reachable_fraction,10,0.05874419420315931,0.03431893609156066
LogisticRegression,exposed_fraction,10,0.0010537380284010337,0.005348225351114824
LogisticRegression,reachable_down_fraction,10,0.002461888052307981,0.010948032055265495
LogisticRegression,degraded_fraction,10,0.0018006351464478227,0.008976637214199336
RandomForest,root_cpu,10,0.00015307368262727322,0.01323759151869566
RandomForest,root_errors,10,0.0006741254026032945,0.011582557751137607
RandomForest,root_latency,10,0.000664715323448343,0.009671830418141372
RandomForest,n_nodes,10,-0.0019336939181264592,0.01024591324236232
RandomForest,n_requires,10,0.002620062524645551,0.012606090987814558
RandomForest,n_replicas,10,-0.0015401672025781503,0.0068947662521256035
RandomForest,mean_cpu,10,-0.00513781026817974,0.017359338096372152
RandomForest,max_cpu,10,0.004250172591776869,0.012643963589922865
RandomForest,mean_errors,10,0.0007601250121327733,0.014080715420922898
RandomForest,max_errors,10,-0.003107328685697774,0.010877201492734733
RandomForest,alarm_fraction,10,0.0005781560135832791,0.0101551844701906
RandomForest,root_down,10,0.008277508358005444,0.00849349672821253
RandomForest,down_fraction,10,-0.004371740341099472,0.010021931186587679
RandomForest,reachable_fraction,10,0.017923193350042825,0.01485896165918134
RandomForest,exposed_fraction,10,-0.0005337077828811504,0.013618760725350653
RandomForest,reachable_down_fraction,10,0.016267095359729818,0.02408040699306257
RandomForest,degraded_fraction,10,0.0009904607951836592,0.012635090688856336
GradientBoosting,root_cpu,10,0.0019015004068940044,0.012617229858650844
GradientBoosting,root_errors,10,-0.0005577529587356314,0.01198991119710544
GradientBoosting,root_latency,10,0.00298634931394843,0.00654242799314174
GradientBoosting,n_nodes,10,0.0002475020344461713,0.0016334917997929725
GradientBoosting,n_requires,10,0.02294715207439868,0.015674641783578844
GradientBoosting,n_replicas,10,-0.0007011662752351769,0.007237161783269287
GradientBoosting,mean_cpu,10,0.004793511001771125,0.008491489473589362
GradientBoosting,max_cpu,10,0.011948432777737931,0.012250557583787751
GradientBoosting,mean_errors,10,0.011998909809615304,0.009181279422894791
GradientBoosting,max_errors,10,0.002187864616550235,0.004947231331914664
GradientBoosting,alarm_fraction,10,0.0003553941399034496,0.007897697265651434
GradientBoosting,root_down,10,0.025894292463095776,0.014247588387925805
GradientBoosting,down_fraction,10,-0.001039040825749245,0.006228066447211848
GradientBoosting,reachable_fraction,10,0.049176795244067296,0.028120140338017845
GradientBoosting,exposed_fraction,10,0.002295150345989901,0.0037942790687253525
GradientBoosting,reachable_down_fraction,10,0.026620509873686315,0.02270865319720767
GradientBoosting,degraded_fraction,10,0.00024298789560162423,0.00554976010601606
