strategy,n_failures,cases,cost_mean,cost_std,excess_cost_mean,excess_cost_std,expanded_mean,expanded_std,seconds_mean,seconds_std,valid_mean,valid_std
ucs,2,21,3.238095238095238,4.07314082625143,0.0,0.0,2.142857142857143,1.1084094137869043,0.0005148478095136289,0.00041699086492063094,1.0,0.0
ucs,4,21,2.9523809523809526,2.8013602138281053,0.0,0.0,3.2857142857142856,2.4524040683145416,0.001083425190353453,0.000763002970475772,1.0,0.0
ucs,6,18,8.444444444444445,4.889631553811202,0.0,0.0,16.22222222222222,14.719157406972785,0.007518006888807981,0.00697258598478968,1.0,0.0
cheapest,2,21,4.142857142857143,4.891683905218267,0.9047619047619048,1.813966976126134,2.0476190476190474,0.9734572654303051,0.00042224309531558815,0.0003592820136664416,1.0,0.0
cheapest,4,21,6.0,7.197221686178632,3.0476190476190474,4.716738178828569,2.761904761904762,1.4800257398019099,0.0008211534761704527,0.0004639664681402564,1.0,0.0
cheapest,6,18,20.0,10.538445024262915,11.555555555555555,8.045621551116536,5.555555555555555,1.8856180831641267,0.0023864246110052692,0.001581381892758424,1.0,0.0
