method,n_folds,local_f1_mean,local_f1_std,local_false_alarm_rate_mean,local_false_alarm_rate_std,critical_f1_macro_mean,critical_f1_macro_std,critical_balanced_accuracy_mean,critical_balanced_accuracy_std
FixedThreshold,10,0.520877367776346,0.034837088722758563,0.0007025992903473403,0.00027102951858373183,0.6871809774210256,0.02431501371237673,0.6952482993174682,0.02028714145771282
SingleCenter,10,0.7701576272933578,0.018896018497781424,0.05234821467433178,0.005014716805663697,0.8435229041972772,0.022138426823503875,0.8627083035178996,0.020752682531725537
KMeans,10,0.7547817249910379,0.023248366955692476,0.05709639770901741,0.007037188683816905,0.8243664925089472,0.03387325110738201,0.8461281288146036,0.030076268761056138
