sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
859,11,11,61,4,1491,0.0026405919998069294,1,1
860,11,13,85,5,2661,0.004132734999984677,5,1
861,11,12,65,4,1711,0.0027154649997100933,3,1
862,11,10,55,4,1332,0.002249558000585239,0,1
863,11,10,55,4,1332,0.0021515579992410494,0,1
864,14,18,111,6,5985,0.008433584999693267,5,1
865,14,17,117,6,6843,0.010410744000182603,12,1
866,14,13,74,5,3226,0.005007936000765767,0,1
867,14,14,77,5,3505,0.005091340000035416,1,1
868,14,15,90,5,3804,0.005586840999967535,2,1
869,14,15,81,5,3892,0.005678915999851597,3,1
870,14,17,107,6,5768,0.008741634999751113,5,1
871,14,14,76,5,3505,0.005471450000186451,1,1
872,16,16,100,5,5000,0.007123379999939061,1,1
873,16,16,105,5,5127,0.007667064999623108,2,1
874,16,20,148,6,8885,0.013793140999950992,8,1
875,16,15,95,5,4655,0.006871909999972559,0,1
876,16,19,131,6,8635,0.012023389000205498,10,1
877,16,24,162,6,10944,0.017249503000130062,13,1
878,16,19,142,6,8637,0.013351274999877205,8,1
879,16,15,95,5,4655,0.007570149999992282,0,1
880,17,19,120,5,6402,0.00975456300056976,3,1
881,17,24,137,5,8370,0.012671841000155837,8,1
882,17,24,168,5,8899,0.01306349000060436,11,1
883,17,17,99,4,3906,0.006540314000631042,0,1
884,17,18,101,4,4182,0.006740681999872322,1,1
885,17,18,105,4,4190,0.00600581799972133,1,1
886,17,19,104,4,4458,0.008840594000503188,2,1
887,17,24,136,5,8487,0.011870121999891126,9,1
888,10,9,38,5,920,0.0015813630006960011,0,1
889,10,12,50,5,1334,0.002315627999450953,3,1
890,10,10,41,5,1053,0.0017825850000008359,1,1
891,10,10,40,5,1053,0.0017564159998073592,1,1
892,10,12,50,5,1334,0.0021580000002359156,3,1
893,10,12,59,6,1965,0.003025198000614182,7,1
894,10,9,38,5,920,0.0016429520001111086,0,1
895,10,9,38,5,920,0.0018359100004090578,0,1
896,11,10,65,4,1455,0.0026509330000408227,4,1
897,11,11,67,5,2104,0.0034603480007717735,4,1
898,11,12,70,4,1751,0.0027173239996045595,6,1
899,11,10,52,4,1264,0.0020498780004345463,1,1
900,11,13,65,5,2294,0.003451149000284204,4,1
901,11,10,50,4,1260,0.0023280219993466744,1,1
902,11,13,83,5,2835,0.004421852000632498,10,1
903,11,10,49,4,1260,0.0020688740005425643,1,1
904,15,18,95,5,4230,0.006085971999709727,6,1
905,15,16,77,5,3399,0.005052373999205884,1,1
906,15,19,115,5,4866,0.006838389000222378,10,1
907,15,17,81,5,3674,0.005708085000151186,2,1
908,15,16,77,5,3399,0.005174642000383756,1,1
909,15,17,97,5,3981,0.006047532000593492,5,1
910,15,16,77,5,3399,0.006044653000571998,1,1
911,15,20,107,5,4902,0.007438331999765069,8,1
912,17,28,186,6,15114,0.02000789000067016,15,1
913,17,24,171,6,12922,0.017098338999858242,12,1
914,17,23,159,6,11832,0.016107829999782552,7,1
915,17,20,135,6,9946,0.01423720900038461,3,1
916,17,21,149,6,10455,0.016550065000046743,4,1
917,17,23,154,6,11573,0.015779685999405046,6,1
918,17,22,158,6,11503,0.01607642900034989,8,1
919,17,22,143,6,10666,0.01541098100005911,3,1
920,10,15,74,5,2428,0.0037824579994776286,7,1
921,10,14,75,5,2276,0.003580569999940053,6,1
922,10,11,48,4,1080,0.00180882200038468,0,1
923,10,13,56,4,1352,0.002250722999633581,2,1
924,10,14,67,5,2173,0.003949263999857067,5,1
925,10,11,48,4,1080,0.0018092479995175381,0,1
926,10,13,55,4,1344,0.0022033440000086557,2,1
927,10,13,61,5,1900,0.002988459000334842,3,1
928,17,21,109,5,5932,0.008471201999782352,4,1
929,17,18,101,5,4821,0.006986385000345763,0,1
930,17,22,143,6,8930,0.014360058000420395,10,1
931,17,18,101,5,4821,0.007426866999594495,0,1
932,17,19,107,5,5266,0.00776932700046018,2,1
933,17,19,105,5,5266,0.007996393999746942,2,1
934,17,24,155,6,10212,0.014374869000675972,14,1
935,17,19,103,5,5154,0.007307142000172462,1,1
936,17,19,133,5,6833,0.009686905000307888,8,1
937,17,17,97,4,3923,0.005749654000283044,2,1
938,17,16,92,4,3557,0.005370849999962957,0,1
939,17,18,116,5,5843,0.008511523999914061,3,1
940,17,22,144,5,8043,0.01434801300001709,11,1
941,17,19,102,5,6031,0.010106182999152225,3,1
942,17,22,161,5,8677,0.012364025999886508,16,1
