method,n_folds,local_f1_mean,local_f1_std,local_false_alarm_rate_mean,local_false_alarm_rate_std,critical_f1_macro_mean,critical_f1_macro_std,critical_balanced_accuracy_mean,critical_balanced_accuracy_std
FixedThreshold,10,0.5051094150678808,0.03593795849060865,0.0004933327686277866,0.00027528021725571047,0.7093446779253931,0.04985207055373143,0.6636613983528444,0.04234100257870616
SingleCenter,10,0.7730941775445009,0.027454001845395214,0.05303034410773193,0.007546324713195729,0.847489646384803,0.033980651766036415,0.9332052254331199,0.01535857788347189
KMeans,10,0.7762574687798436,0.026665080456129822,0.05198160590781329,0.006449369293902898,0.8638499999170627,0.03477145502827002,0.9414601699831857,0.01572131931167747
