repeat,fold,model,feature,f1_decrease
0,2,LogisticRegression,n_replicas,0.03781872018879212
0,2,LogisticRegression,mean_cpu,0.017975120549750773
0,2,LogisticRegression,max_cpu,0.00859979407726097
0,2,LogisticRegression,mean_errors,0.019354065082159606
0,2,LogisticRegression,max_errors,0.0
0,2,LogisticRegression,alarm_fraction,0.013599862699345397
0,2,LogisticRegression,root_down,0.008111107957489039
0,2,LogisticRegression,down_fraction,0.006344367720553394
0,2,LogisticRegression,reachable_fraction,0.026868680745243994
0,2,LogisticRegression,exposed_fraction,0.001807521435213788
0,2,LogisticRegression,reachable_down_fraction,-0.0015365367280564997
0,2,LogisticRegression,degraded_fraction,0.005055435287348864
0,2,RandomForest,root_cpu,0.017570583429595648
0,2,RandomForest,root_errors,0.015368944240418089
0,2,RandomForest,root_latency,0.016463307415097255
0,2,RandomForest,n_nodes,-0.0007197704917626576
0,2,RandomForest,n_requires,-0.03449513120989537
0,2,RandomForest,n_replicas,-0.003572702778890028
0,2,RandomForest,mean_cpu,-0.007229583426921149
0,2,RandomForest,max_cpu,0.011771282438645558
0,2,RandomForest,mean_errors,-0.002863635221306874
0,2,RandomForest,max_errors,-0.002863635221306874
0,2,RandomForest,alarm_fraction,-0.004289376204001605
0,2,RandomForest,root_down,0.019772165816936527
0,2,RandomForest,down_fraction,-0.01037192603414668
0,2,RandomForest,reachable_fraction,-0.014452972720540136
0,2,RandomForest,exposed_fraction,-0.011963394355422319
0,2,RandomForest,reachable_down_fraction,-0.002139355928666875
0,2,RandomForest,degraded_fraction,-0.0007131186428889583
0,2,GradientBoosting,root_cpu,0.0005487536274636865
0,2,GradientBoosting,root_errors,0.0
0,2,GradientBoosting,root_latency,-0.0005392376686059556
0,2,GradientBoosting,n_nodes,-0.01673117032945178
0,2,GradientBoosting,n_requires,-0.014906313906413041
0,2,GradientBoosting,n_replicas,0.0005455816411777762
0,2,GradientBoosting,mean_cpu,0.0
0,2,GradientBoosting,max_cpu,-0.0070895102751885415
0,2,GradientBoosting,mean_errors,-0.00836558516472589
0,2,GradientBoosting,max_errors,-0.014724602191554859
0,2,GradientBoosting,alarm_fraction,0.0
0,2,GradientBoosting,root_down,0.0016367449235333287
0,2,GradientBoosting,down_fraction,0.0
0,2,GradientBoosting,reachable_fraction,0.0
0,2,GradientBoosting,exposed_fraction,0.0
0,2,GradientBoosting,reachable_down_fraction,0.0
0,2,GradientBoosting,degraded_fraction,0.0
0,3,LogisticRegression,root_cpu,0.019453159901632655
0,3,LogisticRegression,root_errors,0.02219601825515416
0,3,LogisticRegression,root_latency,0.002884640432292196
0,3,LogisticRegression,n_nodes,0.10842379730181385
0,3,LogisticRegression,n_requires,0.03888602942685071
0,3,LogisticRegression,n_replicas,0.03166403973392976
0,3,LogisticRegression,mean_cpu,0.02271984032224683
0,3,LogisticRegression,max_cpu,0.000909092822573232
0,3,LogisticRegression,mean_errors,0.019621130422155002
0,3,LogisticRegression,max_errors,0.004727036412140599
0,3,LogisticRegression,alarm_fraction,0.012455902859381177
0,3,LogisticRegression,root_down,0.0038499543593433585
0,3,LogisticRegression,down_fraction,0.0013234204853905807
0,3,LogisticRegression,reachable_fraction,0.0008828458894001671
0,3,LogisticRegression,exposed_fraction,0.007552716332875242
0,3,LogisticRegression,reachable_down_fraction,0.015153035837657888
0,3,LogisticRegression,degraded_fraction,0.015412449995022856
0,3,RandomForest,root_cpu,0.02088269852559521
0,3,RandomForest,root_errors,0.02088269852559521
0,3,RandomForest,root_latency,-0.002139355928666875
0,3,RandomForest,n_nodes,0.0
0,3,RandomForest,n_requires,0.02255835438777254
0,3,RandomForest,n_replicas,0.015038902925181693
0,3,RandomForest,mean_cpu,0.005534662222753821
0,3,RandomForest,max_cpu,-0.00879443690793095
0,3,RandomForest,mean_errors,0.0
0,3,RandomForest,max_errors,0.0
0,3,RandomForest,alarm_fraction,0.0
0,3,RandomForest,root_down,0.013208680374174516
0,3,RandomForest,down_fraction,0.014325784282292734
0,3,RandomForest,reachable_fraction,0.014325784282292734
0,3,RandomForest,exposed_fraction,0.02255835438777254
0,3,RandomForest,reachable_down_fraction,0.0
0,3,RandomForest,degraded_fraction,0.0014200431524757546
0,3,GradientBoosting,root_cpu,0.034741900044101416
0,3,GradientBoosting,root_errors,0.033062929333532054
0,3,GradientBoosting,root_latency,0.021271195045182212
0,3,GradientBoosting,n_nodes,0.0
0,3,GradientBoosting,n_requires,0.015595491928114491
0,3,GradientBoosting,n_replicas,0.0
0,3,GradientBoosting,mean_cpu,0.0
0,3,GradientBoosting,max_cpu,-0.002538328764341624
0,3,GradientBoosting,mean_errors,0.026812051401238195
0,3,GradientBoosting,max_errors,-0.01269446783962469
0,3,GradientBoosting,alarm_fraction,0.0
0,3,GradientBoosting,root_down,0.0016762819168242664
0,3,GradientBoosting,down_fraction,0.0
0,3,GradientBoosting,reachable_fraction,0.014180796696788142
0,3,GradientBoosting,exposed_fraction,0.021271195045182212
0,3,GradientBoosting,reachable_down_fraction,0.0
0,3,GradientBoosting,degraded_fraction,0.0
0,4,LogisticRegression,root_cpu,0.019335950697772275
0,4,LogisticRegression,root_errors,0.08527233892895869
0,4,LogisticRegression,root_latency,0.005751116892722563
0,4,LogisticRegression,n_nodes,0.006470345001961715
0,4,LogisticRegression,n_requires,-0.019811652532671437
0,4,LogisticRegression,n_replicas,0.024879489971040798
0,4,LogisticRegression,mean_cpu,-0.009171809759218755
0,4,LogisticRegression,max_cpu,0.03728932228957286
0,4,LogisticRegression,mean_errors,0.064339328459173
0,4,LogisticRegression,max_errors,0.004430870172127732
0,4,LogisticRegression,alarm_fraction,-0.014797404112771565
0,4,LogisticRegression,root_down,0.0013968491535178984
0,4,LogisticRegression,down_fraction,0.004185653020334172
0,4,LogisticRegression,reachable_fraction,0.020675302747077223
0,4,LogisticRegression,exposed_fraction,0.026136334361932412
0,4,LogisticRegression,reachable_down_fraction,0.00705442712693131
0,4,LogisticRegression,degraded_fraction,-0.0021239831899028117
0,4,RandomForest,root_cpu,0.0
0,4,RandomForest,root_errors,0.006835380329356229
0,4,RandomForest,root_latency,0.013670760658712458
0,4,RandomForest,n_nodes,0.0
0,4,RandomForest,n_requires,0.006835380329356229
0,4,RandomForest,n_replicas,0.0
0,4,RandomForest,mean_cpu,-0.006596052585631377
0,4,RandomForest,max_cpu,-0.005783298955989724
0,4,RandomForest,mean_errors,0.0
0,4,RandomForest,max_errors,0.0
0,4,RandomForest,alarm_fraction,0.0
0,4,RandomForest,root_down,0.0
0,4,RandomForest,down_fraction,0.0
0,4,RandomForest,reachable_fraction,-0.006596052585631377
0,4,RandomForest,exposed_fraction,0.02050614098806869
0,4,RandomForest,reachable_down_fraction,0.0
0,4,RandomForest,degraded_fraction,0.0
0,4,GradientBoosting,root_cpu,0.01840522618040713
0,4,GradientBoosting,root_errors,0.012849042932095286
0,4,GradientBoosting,root_latency,0.0
0,4,GradientBoosting,n_nodes,0.0
0,4,GradientBoosting,n_requires,0.0006993366243969364
0,4,GradientBoosting,n_replicas,0.0006993366243969364
0,4,GradientBoosting,mean_cpu,0.0
0,4,GradientBoosting,max_cpu,-0.000700304935887186
0,4,GradientBoosting,mean_errors,-0.000700304935887186
0,4,GradientBoosting,max_errors,-0.000700304935887186
0,4,GradientBoosting,alarm_fraction,0.0
0,4,GradientBoosting,root_down,0.0
0,4,GradientBoosting,down_fraction,0.0
0,4,GradientBoosting,reachable_fraction,0.0013986732487938729
0,4,GradientBoosting,exposed_fraction,-0.004976459367473485
0,4,GradientBoosting,reachable_down_fraction,0.0
0,4,GradientBoosting,degraded_fraction,0.0
1,0,LogisticRegression,root_cpu,0.007696036314762493
1,0,LogisticRegression,root_errors,-0.00499907874000638
1,0,LogisticRegression,root_latency,0.0
1,0,LogisticRegression,n_nodes,0.06461916416813086
1,0,LogisticRegression,n_requires,0.0309384901842323
1,0,LogisticRegression,n_replicas,0.024099423296145745
1,0,LogisticRegression,mean_cpu,-0.007417128024537682
1,0,LogisticRegression,max_cpu,0.015653106356293023
1,0,LogisticRegression,mean_errors,0.028622296182751767
1,0,LogisticRegression,max_errors,-0.001135726469057537
1,0,LogisticRegression,alarm_fraction,-0.009025168052867424
1,0,LogisticRegression,root_down,0.0
1,0,LogisticRegression,down_fraction,-0.001277212611197324
1,0,LogisticRegression,reachable_fraction,-0.010313077461881296
1,0,LogisticRegression,exposed_fraction,-0.0025306231851435954
1,0,LogisticRegression,reachable_down_fraction,-0.0065669561911119905
1,0,LogisticRegression,degraded_fraction,-0.003783476012768442
1,0,RandomForest,root_cpu,2.9552360059081906e-06
1,0,RandomForest,root_errors,-0.0015736631731343986
1,0,RandomForest,root_latency,-0.001049108782089599
1,0,RandomForest,n_nodes,0.0
1,0,RandomForest,n_requires,0.0015855091615309218
1,0,RandomForest,n_replicas,0.0005275096270507077
1,0,RandomForest,mean_cpu,-0.001049108782089599
1,0,RandomForest,max_cpu,-0.001049108782089599
1,0,RandomForest,mean_errors,-0.001049108782089599
