sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
842,14,14,100,7,7734,0.018268447000082233,2,1
843,14,13,97,6,5871,0.011553308000657125,1,1
844,14,12,87,6,5441,0.0085049440003786,0,1
845,14,15,113,7,8281,0.013731669000662805,3,1
846,14,13,89,6,5859,0.009329681000053824,1,1
847,14,16,113,6,7323,0.011612368999522005,5,1
848,18,22,143,6,11132,0.017294903000220074,7,1
849,18,18,125,5,7062,0.010401539000667981,3,1
850,18,17,103,5,6475,0.009272502999920107,1,1
851,18,20,129,6,10071,0.01450666100026865,5,1
852,18,16,101,5,6076,0.009148053999524564,0,1
853,18,18,127,5,7062,0.01017822999983764,3,1
854,18,18,108,5,6874,0.010363664000578865,2,1
855,18,17,109,5,6485,0.010020820999670832,1,1
856,16,18,100,6,6987,0.010431726000206254,2,1
857,16,17,104,6,6730,0.009794159000193758,2,1
858,16,21,127,6,8743,0.01418751099936344,7,1
859,16,17,98,6,6560,0.00966086400057975,1,1
860,16,17,104,6,6730,0.009984452000026067,2,1
861,16,22,158,6,10283,0.01532178700017539,14,1
862,16,18,112,6,7333,0.010693457999877864,4,1
863,16,16,96,6,6133,0.009672582000348484,0,1
864,15,13,76,4,2628,0.0052708769999298966,0,1
865,15,15,81,4,3086,0.004847555999731412,2,1
866,15,16,102,5,4895,0.007769877000100678,5,1
867,15,13,76,4,2628,0.0051132309999957215,0,1
868,15,14,80,4,2950,0.004730673999802093,2,1
869,15,14,78,4,2857,0.0044278750001467415,1,1
870,15,14,84,4,2865,0.005181059999813442,1,1
871,15,14,88,5,3954,0.005970793999949819,1,1
872,15,15,108,7,7386,0.011510166999869398,3,1
873,15,14,89,7,6488,0.009784909999325464,0,1
874,15,15,91,7,6969,0.010325469999770576,1,1
875,15,16,100,7,7464,0.01131712599999446,2,1
876,15,14,89,7,6488,0.010240598000564205,0,1
877,15,16,104,8,8917,0.013313245999597711,2,1
878,15,18,137,7,10396,0.01765106799939531,14,1
879,15,17,119,7,8546,0.012835147999794572,6,1
880,17,16,107,6,7093,0.010706713999752537,0,1
881,17,16,107,6,7093,0.010565094999947178,0,1
882,17,22,140,7,12672,0.01847600900055113,8,1
883,17,18,122,6,8236,0.012045860999933211,3,1
884,17,16,107,6,7093,0.010249461000057636,0,1
885,17,18,127,6,8238,0.012039820000609325,3,1
886,17,19,124,6,8700,0.013439697999274358,4,1
887,17,21,139,6,10038,0.014314701999865065,8,1
888,15,14,91,5,4477,0.007239152999318321,0,1
889,15,17,129,5,5879,0.008969362000243564,5,1
890,15,17,119,6,7505,0.011074252000071283,5,1
891,15,16,100,5,5151,0.00913471199964988,2,1
892,15,14,91,5,4477,0.006984998999541858,0,1
893,15,14,91,5,4477,0.007397565999781364,0,1
894,15,19,109,5,6237,0.009098751999772503,5,1
895,15,15,106,6,6581,0.009904866000397305,3,1
896,15,18,110,7,7640,0.012709644999631564,10,1
897,15,18,119,8,9320,0.013594291000117664,12,1
898,15,17,94,7,6491,0.0094937639996715,5,1
899,15,16,94,8,7023,0.010345916000005673,3,1
900,15,15,84,7,5331,0.008576975000323728,1,1
901,15,20,126,7,8279,0.012097064000045066,10,1
902,15,14,77,7,4926,0.007518986999457411,0,1
903,15,16,84,7,5750,0.008690760000718,2,1
904,10,9,51,5,1714,0.003533953999976802,1,1
905,10,14,85,5,2914,0.00532772400038084,7,1
906,10,10,53,5,1900,0.0034754410007735714,2,1
907,10,9,57,6,2179,0.003961431999414344,1,1
908,10,8,47,5,1518,0.0027480170001581428,0,1
909,10,8,47,5,1518,0.002714555000238761,0,1
910,10,11,79,6,3192,0.011958879000303568,8,1
911,10,8,47,5,1518,0.0032029019994297414,0,1
912,14,12,72,4,2589,0.004529488000116544,0,1
913,14,16,115,5,5436,0.008010923000256298,8,1
914,14,12,72,4,2589,0.004024560999823734,0,1
915,14,12,72,4,2589,0.0043883930002266425,0,1
916,14,15,89,4,3318,0.005721808000089368,3,1
917,14,15,95,5,4511,0.006849714000054519,3,1
918,14,17,88,4,3764,0.005588609999904293,5,1
919,14,16,95,4,3561,0.005433450999589695,4,1
920,13,11,70,5,3158,0.004899868000393326,0,1
921,13,12,72,5,3443,0.00597394800024631,1,1
922,13,12,86,5,3576,0.005760789999840199,2,1
923,13,13,83,6,4766,0.007412531000227318,2,1
924,13,12,74,5,3448,0.005467004999445635,1,1
925,13,13,88,5,3870,0.006421574000341934,3,1
926,13,15,79,5,4298,0.006626663999668381,4,1
927,13,15,97,6,5584,0.009498902999439451,4,1
928,18,17,102,4,4326,0.006585677000657597,0,1
929,18,18,108,4,4626,0.006785970000237285,1,1
930,18,19,113,4,4926,0.007415525000396883,2,1
931,18,21,118,4,5665,0.00806012999964878,5,1
932,18,19,113,4,4926,0.0073172339998563984,2,1
933,18,22,172,5,10320,0.015152801999647636,18,1
934,18,18,108,4,4622,0.00824810499943851,1,1
935,18,19,121,4,4926,0.0077087370000299416,2,1
936,18,18,134,7,11043,0.0163191800002096,2,1
937,18,19,139,6,9643,0.014512511000248196,5,1
938,18,19,137,7,11649,0.017663417999756348,3,1
939,18,22,174,7,14803,0.022173248000399326,10,1
940,18,19,138,7,11689,0.021115509999617643,3,1
941,18,23,195,7,17152,0.02580846700038819,18,1
942,18,20,137,7,12061,0.01724149999972724,3,1
943,18,18,118,6,8598,0.013516789999812318,1,1
944,18,20,162,6,14567,0.020565816999805975,4,1
945,18,16,135,5,9064,0.014239856000131113,0,1
946,18,18,154,6,13275,0.01943677400049637,2,1
947,18,22,224,6,18684,0.026069387000461575,16,1
948,18,19,144,5,10576,0.01509520000035991,3,1
949,18,17,137,5,9568,0.013319641999260057,1,1
950,18,25,219,6,19769,0.034026909999738564,15,1
951,18,19,161,5,10621,0.016023814000618586,3,1
952,16,15,90,4,3777,0.00601316800020868,1,1
953,16,16,94,4,4049,0.006391991000782582,2,1
954,16,19,130,5,7309,0.011211410000214528,8,1
955,16,15,92,4,3777,0.006101157000557578,1,1
956,16,14,87,4,3505,0.0061810360002709785,0,1
957,16,16,108,4,4089,0.007186613999692781,2,1
958,16,14,87,4,3505,0.005307815999913146,0,1
959,16,16,94,4,4057,0.006346385999677295,2,1
