case,n_nodes,n_failures,strategy,repairs,cost,expanded,seconds,oracle_cost,excess_cost,valid
36,8,2,ucs,[],0,1,9.74829999904614e-05,0,0,1
36,8,2,cheapest,[],0,1,8.103600066533545e-05,0,0,1
37,12,2,ucs,[],0,1,0.0002672380005606101,0,0,1
37,12,2,cheapest,[],0,1,0.00023785600023984443,0,0,1
38,16,2,ucs,[],0,1,0.00020414400023582857,0,0,1
38,16,2,cheapest,[],0,1,0.0001638690000618226,0,0,1
39,8,4,ucs,['n07'],4,3,0.0005776239995611832,4,0,1
39,8,4,cheapest,"['n01', 'n07']",5,3,0.0004972879996785196,4,1,1
40,12,4,ucs,['n11'],3,4,0.0008992870007205056,3,0,1
40,12,4,cheapest,"['n04', 'n08', 'n11']",7,4,0.0007885710001573898,3,4,1
41,16,4,ucs,['n15'],2,2,0.0004868690002695075,2,0,1
41,16,4,cheapest,['n15'],2,2,0.0004774609997184598,2,0,1
42,8,6,ucs,['n07'],8,7,0.001466150000851485,8,0,1
42,8,6,cheapest,"['n01', 'n02', 'n04', 'n05', 'n06', 'n07']",40,7,0.001026318999720388,8,32,1
43,12,6,ucs,"['n04', 'n06', 'n11']",14,41,0.014154288999634446,14,0,1
43,12,6,cheapest,"['n01', 'n04', 'n06', 'n07', 'n09', 'n11']",24,7,0.002166894000765751,14,10,1
44,16,6,ucs,['n10'],6,6,0.005052807000538451,6,0,1
44,16,6,cheapest,"['n00', 'n02', 'n05']",8,4,0.002793599999677099,6,2,1
45,8,2,ucs,['n07'],5,3,0.00030555899957107613,5,0,1
45,8,2,cheapest,"['n05', 'n07']",9,3,0.00025391700000909623,5,4,1
46,12,2,ucs,['n11'],1,2,0.0012392549997457536,1,0,1
46,12,2,cheapest,['n11'],1,2,0.0011946630002057645,1,0,1
47,16,2,ucs,['n13'],4,2,0.000529670999640075,4,0,1
47,16,2,cheapest,['n13'],4,2,0.00054322400046658,4,0,1
48,8,4,ucs,['n07'],1,2,0.0002815369998643291,1,0,1
48,8,4,cheapest,['n07'],1,2,0.0002622049996716669,1,0,1
49,12,4,ucs,['n03'],1,3,0.0015215330004139105,1,0,1
49,12,4,cheapest,"['n01', 'n03']",2,3,0.001366008999866608,1,1,1
50,16,4,ucs,[],0,1,0.00023227200017572613,0,0,1
50,16,4,cheapest,[],0,1,0.00023214300017571077,0,0,1
51,8,6,ucs,"['n01', 'n05', 'n07']",6,12,0.0033702190003168653,6,0,1
51,8,6,cheapest,"['n01', 'n05', 'n07']",6,4,0.0008562390003135079,6,0,1
52,12,6,ucs,"['n02', 'n11']",10,13,0.007471711999642139,10,0,1
52,12,6,cheapest,"['n00', 'n01', 'n02', 'n07', 'n08', 'n11']",33,7,0.0020456230004128884,10,23,1
53,16,6,ucs,"['n10', 'n15']",8,12,0.006523900000502181,8,0,1
53,16,6,cheapest,"['n00', 'n10', 'n15']",9,4,0.002106736000314413,8,1,1
54,8,2,ucs,[],0,1,9.511900043435162e-05,0,0,1
54,8,2,cheapest,[],0,1,7.972899948072154e-05,0,0,1
55,12,2,ucs,['n05'],2,2,0.0006421920006687287,2,0,1
55,12,2,cheapest,['n05'],2,2,0.000612622000517149,2,0,1
56,16,2,ucs,['n15'],1,2,0.0008302850001200568,1,0,1
56,16,2,cheapest,['n15'],1,2,0.000806866999482736,1,0,1
57,8,4,ucs,"['n01', 'n03']",11,12,0.004567730999951891,11,0,1
57,8,4,cheapest,"['n01', 'n03', 'n05', 'n06']",13,5,0.001519534000181011,11,2,1
58,12,4,ucs,[],0,1,0.00031985799978428986,0,0,1
58,12,4,cheapest,[],0,1,0.00027890799992746906,0,0,1
59,16,4,ucs,"['n08', 'n15']",10,10,0.00989767999999458,10,0,1
59,16,4,cheapest,"['n03', 'n04', 'n08', 'n15']",19,5,0.0017382920004820335,10,9,1
