model,comparison,f1_delta_mean,f1_delta_std,positive_folds,n_folds
LogisticRegression,BASE+KB minus BASE,-0.02728015969724456,0.03995888944289008,2,10
LogisticRegression,BASE+KB minus BASE+LOCAL,-0.014381836121348895,0.0210927064806712,3,10
RandomForest,BASE+KB minus BASE,0.013621469193690722,0.030136275510648302,7,10
RandomForest,BASE+KB minus BASE+LOCAL,0.007419254301919731,0.029553606556403086,4,10
GradientBoosting,BASE+KB minus BASE,-0.015056438784673226,0.04696231079357817,3,10
GradientBoosting,BASE+KB minus BASE+LOCAL,-0.005161280833037296,0.04898847847903296,4,10
