repeat,fold,model,feature_set,n_test,f1_macro,balanced_accuracy,average_precision,brier,fit_seconds,best_params
0,0,LogisticRegression,BASE,200,0.6203623813632442,0.6537058530923562,0.32511649002245113,0.21050573095444086,0.12444205999963742,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced""}"
0,0,RandomForest,BASE,200,0.4700726951559209,0.5043110595257835,0.2582931259695163,0.1532383601841165,1.209216156000366,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,0,GradientBoosting,BASE,200,0.5,0.5239595423644503,0.34220710226029044,0.1415087936848323,0.8691240600001038,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,0,LogisticRegression,BASE+LOCAL,200,0.54337899543379,0.5806665561266788,0.3281792956841706,0.21444679816074028,0.12007102199913788,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
0,0,RandomForest,BASE+LOCAL,200,0.5148110316649642,0.5282706018902338,0.2745158045300228,0.15422970553435852,1.3821105269998952,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,0,GradientBoosting,BASE+LOCAL,200,0.4444444444444444,0.49079754601226994,0.2948972767399373,0.14629942329694348,1.3166710360001161,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,0,LogisticRegression,BASE+KB,200,0.48927477017364657,0.5116896037141436,0.2698307845274145,0.15356022656440563,0.14095328700022947,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
0,0,RandomForest,BASE+KB,200,0.5179467135691486,0.5313380865528105,0.26317862257643454,0.1528047960808023,1.5085302170000432,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,0,GradientBoosting,BASE+KB,200,0.4972484543786942,0.5208920577018736,0.2883942314203768,0.14753348409002603,1.489905163000003,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,0,DummyPrior,-,200,0.4490358126721763,0.5,0.185,0.1518919667590028,0.0,{}
0,0,LogicOnly,-,200,0.6593097318915716,0.6813132150555463,0.3056287920573635,0.23,0.0,{}
